f1,f2,f3,f4,f5,label
0.4669489930711142,0.3356039496237439,0.1067916344532746,0.6034865976364658,0.9101879779335778,0
0.537989419728734,0.3629426619612299,0.990609072464352,0.8245309680654376,0.5156933843303366,1
0.4804195060415046,0.5507046328139651,0.3599999644255162,0.1795158794684219,0.2240984554394858,0
0.4382961918613116,0.4429374187611991,0.3877424892833639,0.7652550812209362,0.5112320237983516,0
0.0857794808070672,0.052292047776799,0.8139620876747636,0.7154186893098278,0.5551712060217893,0
0.9873586233289386,0.4735782474610062,0.7375649319118229,0.7311756883140493,0.4040710040672803,1
0.1450263605721353,0.8937787300219415,0.1300971670470214,0.664357718181429,0.9056711988485016,0
0.6550033172406431,0.1673551177245559,0.5194242393409891,0.952382187737946,0.7020178882323099,1
0.898081701163488,0.0139065382797933,0.8266860403603096,0.4837339626430952,0.1274955536133877,1
0.1190220167444451,0.5905113154254645,0.6869344021826674,0.0602290448778359,0.4721312328199025,0
0.5414259324024312,0.1518166928225695,0.3116851513927373,0.0800117637443368,0.9145468157059,0
0.4039458699731935,0.4542567815220898,0.8958866183484089,0.1044918702861806,0.1351514772580502,1
0.9909847394417572,0.7656233094726631,0.8254450879281644,0.8524912724768762,0.0850617176172924,1
0.6419551794335026,0.1380306012919449,0.8482531319373097,0.9406320538362456,0.0357201536025826,1
0.0106927089361643,0.4558722828607436,0.930648136154475,0.965067432733138,0.4865490323240161,1
0.1012822529263702,0.9415148135872728,0.1515426598212387,0.4203422111913281,0.7534666007417598,0
0.3614159589951151,0.4650857156478717,0.4897837910655027,0.6243871930313918,0.6001450059689428,0
0.2270831059090897,0.1316228504242733,0.8516701768361313,0.8508986771520106,0.939032621022393,0
0.4676472747637532,0.5798330560551298,0.5657557992666513,0.6487614823482013,0.4068471952040196,1
0.2686345726191163,0.6405757684750564,0.2030794353955526,0.6055415778509773,0.6264761631302556,0
0.4751611349372208,0.4289271733463036,0.9069551157500176,0.7248536523913024,0.9509202744154678,1
0.1864697010556103,0.591441854885412,0.1479702777416861,0.8486518889365829,0.25455749683775,0
0.1255842559889346,0.5541596576781056,0.0756466329785016,0.8275649706991892,0.2732861585863572,0
0.9278487247425528,0.2845371858322935,0.9673195128951028,0.162710275017616,0.7635413605437898,1
0.3505247897978856,0.2368106921271512,0.4571496964855563,0.524813111254691,0.3271005513958566,0
